Metabolite,Rep1,Rep2,Rep3,Rep4,Rep5,Rep6,Rep7,Rep8,Rep9,Rep10,Rep11,Rep12,Rep13,Rep14
Alanine,10,25,10,25,10,20,7,9,,,21,23,23,25
Arginine,250,500,125,250,125,250,200,300,300,400,200,300,100,200
Cysteine,0,1,1.5,1.75,,,,,2,3,1,1.5,1,1.5
GlutamicAcid,1500,2000,1000,1500,,,,,1100,1200,1300,1400,1100,1200
Glycine,200,400,,,,,,,,,800,1000,400,600
Isoleucine,10,20,10,20,,,,,,,12,14,14,16
Lysine,750,1000,1250,1500,,,,,1000,1250,1000,1250,1000,1100
Methionine,40,50,125,150,0,50,0,50,15,30,15,20,25,30
Phenylalanine,10,20,,,,,,,10,12,8,10,14,16
Proline,,,,,,,,,2000,2500,2200,2400,2100,2200
Serine,100,200,25,50,,,,,,,90,100,90,100
Threonine,10,25,10,20,,,,,,,10,20,12,14
Thymine,15,30,,,,,,,,,30,37,25,30
Tryptophan,,,,,,,,,40,45,40,45,32.5,35
Valine,40,50,20,40,,,,,20,40,20,40,20,40
