Metabolite,Rep1,Rep2,Rep3,Rep4,Rep5,Rep6,Rep7,Rep8,Rep9,Rep10,Rep11,Rep12,Rep13
Cysteine,1,1.5,1.75,1,1.5,1,1.5,,,,,,
Phenylalanine,10,12,8,10,12,14,,,,,,,
Threonine,10,10,12,14,9,11,15,17,,,,,
Isoleucine,10,10,12,14,14,16,12,14,12,14,,,
Methionine,40,50,50,50,30,30,35,30,35,30,35,35,40
Alanine,10,25,10,25,20,20,21,23,23,25,20,,
Valine,40,50,40,40,40,40,35,40,35,40,,,
Tryptophan,40,45,40,45,32.5,35,,,,,,,
Serine,90,100,90,100,100,,,,,,,,
Arginine,250,500,250,250,200,300,300,400,200,300,200,,
Glycine,400,400,300,400,350,375,425,450,,,,,
Lysine,1000,1250,1500,1000,1250,1000,1250,1000,1100,1100,1200,,
Glutamic Acid,1000,1500,1100,1200,1300,1400,1100,1200,1000,,,,
Proline,2000,2500,2000,2000,2100,2200,,,,,,,
